"id","staff_id","tech_stack_id","proficiency_level_id","created_at","updated_at"
1,4,1,1,,
2,4,3,2,,
3,4,5,2,,
4,4,10,1,,
5,4,11,1,,
6,4,12,1,,
7,4,13,2,,
8,4,15,3,,
9,4,17,3,,
10,4,18,2,,
11,4,19,2,,
12,4,20,1,,
13,4,21,2,,
14,4,22,1,,
15,5,1,1,,
16,5,2,4,,
17,5,3,2,,
18,5,4,4,,
19,5,6,2,,
20,5,8,5,,
21,5,11,2,,
22,5,12,2,,
23,5,13,2,,
24,5,16,2,,
25,5,17,2,,
26,5,18,1,,
27,5,20,1,,
28,5,23,1,,
29,6,1,2,,
30,6,3,1,,
31,6,5,5,,
32,6,7,5,,
33,6,10,2,,
34,6,11,2,,
35,6,12,2,,
36,6,15,1,,
37,6,17,1,,
38,6,18,1,,
39,6,19,2,,
40,6,20,2,,
41,6,21,5,,
42,6,22,1,,
43,7,1,1,,
44,7,3,2,,
45,7,10,2,,
46,7,11,2,,
47,7,12,2,,
48,7,13,1,,
49,7,15,1,,
50,7,18,1,,
51,7,19,2,,
52,7,20,2,,
53,8,2,1,,
54,8,5,2,,
55,8,12,2,,
56,8,15,1,,
57,8,17,2,,
58,8,18,1,,
59,8,19,1,,
60,8,20,2,,
61,8,21,5,,
62,8,25,4,,
